,asin,title,description,also_buy,also_view,brand,Category1,Category2,Category3,Category4,avg_rating
0,B000KKKI0M,Fellowes 9000206 WriteRight Universal Screen Protectors - 10 pack,['Writeright Universal'],,"B0758MVCPX,B00BKX73YM,B001S00KNI,B00NMR6EWQ,B016TSGQ3Q,B00EHSR8H4,B00DCCHCOK,B06XNJLY44,B00MQ5TFI0,B072L5RSSS,B01L1BQRNK,B0032MVV9C,B00BY3LQ82,B01COCWL1M,B00G14F50Y,B00M8A8DMC,B00BLUL0J8,B01L1BQUOQ,B07D651FNG,B07BLKC6X9,B076DDDXZF,B01L1BQTC4,B0779M1LDZ,B00ATWR0L6,B005KSABVA,B07FX2PFLD,B004MEX4YE,B01INAUV0W,B077LYY87J,B07559GTG9,B07B9CF38P,B005972X3Q,B017VQFEVK,B07FFCPJ5Y,B01N9KKJLJ,B01AX9R2M6,B074JFQLPZ,B079N8GSMV,B00IGISUTG,B07BRS2VW7,B01MT7D69R,B06XD3CQ6H,B008LFTCAK,B009YCP1LS,B00NG8SA32,B018KIJGU8,B015R0IQGW,B01415QHYW",Fellowes,Cell Phones & Accessories,Accessories,Screen Protectors,,0.8116749999999999
1,B001GZO10I,elago S2 Case for iphone 3G/3GS-(High Glossy) 7 Color + Universal Dock Adapter included,"['Elago Design iPhone 3G/GS S2 Carefully designed and constructed with durable and harmless material Polycarbonate for your iPhone. Polyurethane coated to protect from scratches and for better grip. Light weight ,']",,,,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.717325
2,B001H4DPIC, elago S2 Soft Feeling for iPhone 3G/GS + Universal Dock Adapter (Silver),['Elago Design iPhone 3G/3GS Slim Fit Case Carefully designed and constructed with durable and harmless material Polycarbonate for your iPhone. Polyurethane coated to protect from scratches and for better grip. Light weight and Made in Korea.'],,,,Cell Phones & Accessories,"Cases, Holsters & Sleeves",,,0.717325
3,B003KPTMZ6,New SCP-35LBPS Replacement Battery for Sanyo Mirro SCP-3810 (Boost Mobile &amp; Sprint),['BELTRON S Replacement Battery for Sanyo Mirro SCP-3810 (Boost Mobile & Sprint)'],"B00HWIME7K,B0023TX5EY,B0049S2ZZM,B009AI9LSA,B015RYG57A","B002JA2WA0,B009AI9LSA,B00XKND5V0,B07L4PR18L,B01MDKXOXX,B015RYG57A,B07KSBYDK3,B00HWIME7K,B01DRV2BBY",BELTRON,Cell Phones & Accessories,,,,0.789825
4,B0042I3UJE,For Apple Iphone 4 4g (AT&amp;T) Black Screen Glass Replacement Digitizer with Frame + LCD Assembly + 6 Piece Tool Kit,['For Apple IPhone 4 4g (ATT) Black Screen Glass Replacement Digitizer with Frame + LCD Assembly + 6 Piece Tool Kit'],"B01MRHXAFS,B01LYHR901,B00WSURKNK,B008ZFKBP6,B01EYG1XX8,B00MURVILQ,B00S9NF1HW,B00N3P7W46,B00QFNQLBS,B00MURVLQ8,B00MVFAZ2A,B06XFX331Y,B00J22DQKS,B01DXUFADK,B00MURVFVY,B00E5NHYP2,B06XFH14LL,B01JOF7YD2,B01CG8JAIQ,B01L8U12PW,B00XSY48Z8,B0160MDINW,B012MAUE10,B07FQRB59W,B01C07LM9I,B01C08YIQQ,B0714J3HXY,B00JETJXHY,B06XRHP4F5,B016NPUAO6,B07H92DCY3,B00H4W9U8U,B00XJ56AC0,B00XT08OTW,B07BMQRVR1,B015HDBRRY,B00XT03HK8,B073NYV11R,B06XCHZ58M,B006070Y9Y,B01IN54IY2,B00GXWIV96,B00Y0D99BY,B01CMFTQRI,B01MY2IKCX,B00IT5PEZO,B06WLNHLWP,B01DLRBI5O,B071HF6Q99,B00M53PZRI,B01EFG8AHO,B00JK9HXLQ,B01L8U11FI,B00LNR1SG4,B01CMFTOTS,B01EFG8AHE,B072N9YL7W,B01CMFTPQA,B00GLPPAJ4,B00MQOBJHQ,B071CXQVL8,B018LWDBKE,B012V0CYLE,B06XCRZP2C,B01DLQZ31U,B01DK1Q6EE,B01JYZA2ZO,B01GP91SQ4,B06XD8NK43,B01CMFTS2Q,B071SD3MGR,B01FH14JC6,B01MED5FN9,B01KZE99Q6,B01DK2R1OM",,Generic,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8238
5,B004DBD4TG,Official Samsung ECC1DP0UBEGSTA USB to 30 Pin Charging Data Cable in Retail Packaging for Samsung Galaxy Tab,['<B>Samsung Galaxy Tab Data/Charge Cable</b> - Samsung Retail Packaging\n<P>\nSamsung ECC1DP0UBEGSTA Galaxy Tab USB to 30 Pin Charging Data Cable. This SAMSUNG 30-Pin to USB Charging Data Cable provides the ability to connect your SAMSUNG Galaxy Tab to your compatible PC allowing your Galaxy Tab to become an external modem while also charging and syncing your data.'],"B009ZQKMDA,B009CCOI9Q,B008L1OCF4,B007I5VKYU,B00BYOHZ7M,B0044EAVSY,B01LXVTBN3,B07GN8D8NQ,B00R0LZ0SO,B01GN00OQA,B00HM9UYZ8,B073P3JC4Q,B01CE7KMYU,B00BV9TY8I,B00947LCZW,B077N321L2,B01M2Z68ZN",,Samsung,Cell Phones & Accessories,,,,0.8208
6,B0056IKP10,White Touchscreen Digitizer and LCD Assembly for Apple iPhone 4 Verizon Model,['White Touchscreen Digitizer and LCD Assembly for Apple iPhone 4 Verizon Model'],,,Generic,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8238
7,B005ICKU0A,Ringke Slim Compatible with iPhone 6S Plus CaseFull Coverage on All 4-Sides &amp; Back [Included Screen Protector] Super Lightweight All Around Protection for Apple iPhone 6S Plus - Clear,"['<b>Keep the Natural Shape</b><br>Ringke Slim case keeps the natural shape of the iPhone 6S Plus (2015).<br>Protect your device with a slim look and comfortable hold in your hand.<br>Lightweight & Thin, theres no chance in weighing down or bulking up your slim device.<br>The Slim case fits perfectly on the iPhone 6S Plus for a great look and protection.<br><br>[NOTE]<br><b>Compatible with Apple iPhone 6S Plus, 2015 (Not for iPhone 6 Plus, 2014 / iPhone 6S 4.7"", 2015)</b><br><br><b>Optimized Protection</b><br>Full degree protection covers all four corners and side edges on your new iPhone 6S Plus.<br>Slim hard case is perfectly compatible and secures your device in a comfortable fit for optimized protection against scratches or scrapes.<br>Precise and smooth cutouts give comfortable access to all your much needed function ports and buttons.<br>A slim raised front lip also protects your screen from touching the flat surface and rear camera is protected with a back tapered lip.<br><br><b>High Quality Material</b><br>Made from highly durable slim PC material for ultimate quality and fuller coverage for your device.<br>Specialized Dual Coating Technology durability lasts 2X longer for more protection against scratches and nicks.<br>Indented and smooth corners are perfectly fitted to tightly hold all four corners and comfortably secure the phone<br>inside to prevent it moving around inside the case. Scratch resistant and dust resistant, the quality PC material stays clean.<br><br><b>Easy Snap On Case</b><br>Simple and easy to put on and best of all, the case STAYS on! Simply snap on the case in one smooth step and enjoy super slim protection<br>with a look that so many people already admire. Minimize scratches on the inside with the secure stay hold of Ringke SLIM case.<br><br><b>1 FREE Bonus Invisible Defender Sheet</b><br>Maximize your value with 1 FREE extra Invisible Defender film sheet included inside as an additional bonus!']","B012PAQ09C,B009S3VNE2,B01JQKONKW,B01KEU31CY","B012PAQ09C,B07GYR46Q2,B010QYKI2O,B07DFT15Q4,B010QYKIBK,B010MVQO6K,B013J3CRGY,B01JKC3758,B0141U0X6K,B00N169D3U,B06VY6X1B5,B010QYKBD0,B013TKNNGK,B010MVIQKC,B010QYKF6I,B07H5CGZLX,B00NHYLH8A",Ringke,Cell Phones & Accessories,"Cases, Holsters & Sleeves",Basic Cases,,0.8159000000000001
8,B005NBE75K,Motorola SNN5892A OEM XT875/Droid Bionic Standard Battery (HW4X) - Non-Retail Packaging - Black,"[""Motorola uses the latest Lithium Ion Battery technology giving you the best performance possible. Don't leave home without a spare. Keep an extra battery close by for additional talk and standby time.""]","B00DTINAL6,B007BEFWC4,B005XD2SHM","B00DTINAL6,B00IK0NJ32,B005MUQAEI,B07G5LX121,B006GQS02M,B076HKXXTG,B006ULGWPK,B0184BV3K2,B0052OX876,B07DH18Z36",Motorola,Cell Phones & Accessories,Accessories,Batteries & Battery Packs,Replacement Batteries,0.80855
9,B006070Y9Y,"Flex Cable (Proximity Sensor, Power Button &amp; Noise Cancelling Microphone) For Apple Iphone 4 (Gsm)","['Flex Cable for Apple iPhone 4 <br /> Includes: Proximity Sensor, Power Button &amp; Noise Cancelling Microphone <br /> OEM. All parts come from a phone with other issues. <br /> All parts are tested.<br /> Flex Cable (Proximity Sensor, Power Button &amp; Noise Cancelling Microphone) for Apple iPhone 4']","B007R3OU1I,B008SAWN2M,B0042I3UJE,B01MRHXAFS,B00WSURKNK,B01MRNB7B5,B01C06X8IM,B01LZ79WKV,B00NVDYB2G,B00WPY4QEA,B00LNR1SG4","B007R3OU1I,B00LOSASQ8,B00NVDYB2G,B00QFNQLBS,B01BJWXEUA,B00PCOUO78,B01MRHXAFS,B01ELFVFHQ",Unknown,Cell Phones & Accessories,Accessories,Replacement Parts,,0.8116749999999999
