,reviewerID,asin,reviewText,rating,label,average_sentiment_rating,average_sentiment_label,unixReviewTime
2369,A3MFRAR121IHTN,B000KKKI0M,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
19528,A3MFRAR121IHTN,B003KPTMZ6,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
26086,A3MFRAR121IHTN,B0042I3UJE,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
31453,A3MFRAR121IHTN,B004DBD4TG,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
48844,A3MFRAR121IHTN,B0056IKP10,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
56098,A2LSLKVVNQ92A,B005ICKU0A,One of my all time fav cases.  Slim yet super durable.,1.0,positive,0.8159000000000001,positive,1475625600
59893,A3MFRAR121IHTN,B005NBE75K,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
72276,A3MFRAR121IHTN,B006070Y9Y,"Great product, works like it should",1.0,positive,0.8116749999999999,positive,1414108800
86194,A3MFRAR121IHTN,B00718Z20W,"Works perfect, fast shipment",1.0,positive,0.786525,positive,1457308800
96694,A3MFRAR121IHTN,B007WUMQEO,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
97063,A3MFRAR121IHTN,B007Y6YRIO,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
98222,A2LSLKVVNQ92A,B008131QPQ,Pretty good LCD replacement.  The home button sits a little low when attached to the assembly but otherwise everything else is great.,0.8,positive,0.706675,positive,1419811200
100216,A3MFRAR121IHTN,B0085JRQP0,"Great item, many thanks.",1.0,positive,0.8163,positive,1470700800
102170,A3MFRAR121IHTN,B0088O0L18,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
105117,A2LSLKVVNQ92A,B008GYN8R4,Great value for the price.  You get a charger and a battery.  Everything works great.,1.0,positive,0.8449249999999999,positive,1423440000
105981,A3MFRAR121IHTN,B008I7C8MU,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
108551,A3MFRAR121IHTN,B008THTOKS,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
116504,A2LSLKVVNQ92A,B0093TSSGW,Great quality for the price.  Long battery life.,1.0,positive,0.789825,positive,1496966400
120514,A2UX8I05VSEL6,B0097FRSUE,This case option is made in Mexico and is slightly smaller than the same case that's made in China the difference is notable when the device is placed in the bottom half when you go to install the top half of unit it doesn't clip together all the way but when the outer silicone skin is wrapped around it keeps the frame semi-solid,1.0,positive,0.756525,positive,1404000000
133580,A3MFRAR121IHTN,B009LU88M2,"Nice solid case, fast shipping. Top of the line case",1.0,positive,0.799175,positive,1438905600
142063,A2LSLKVVNQ92A,B00A2VJY5E,Good charger for the price.,1.0,positive,0.77825,positive,1417392000
143740,A3MFRAR121IHTN,B00A712FE6,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
145065,A2LSLKVVNQ92A,B00A83I8G2,As advertised.,0.8,positive,0.65,neutral,1491782400
152517,A2LSLKVVNQ92A,B00AG1A8FK,Gets the job done!,1.0,positive,0.75,positive,1417392000
152571,A2LSLKVVNQ92A,B00AG1A6N4,My favorite case for the 5/5S.  Excellent protection and looks terrific!,1.0,positive,0.8163750000000001,positive,1417392000
159184,A3MFRAR121IHTN,B00ATIV2QE,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
164099,A3MFRAR121IHTN,B00B3O38GK,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
165862,A2LSLKVVNQ92A,B00B78MT44,"My favorite all-time car mount.  Sticks to the windshield like glue, and shifts for multiple viewing angles.",1.0,positive,0.801775,positive,1417305600
171543,A2LSLKVVNQ92A,B00BJU0CHQ,Kind of meh about this.  It holds my iPhone 6 very steady but the fact that it blocks the air vent is kind of lame.  I didn't think I would mind at first until I turned the AC on yesterday (because it was hot out) and it blocked all the air.  The instructions even say not to use this with the heat on.  I need heat in the winter blowing from the vents!,0.6,neutral,0.393625,neutral,1429315200
188112,A3MFRAR121IHTN,B00C6VP02E,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
188145,A2UX8I05VSEL6,B00C6VP03I,I don't think you can wirelessly charge a LG G3. The Qi and NFC Chip you either manually install or purchase the battery cover already installed overheats the device severly because the battery smashes the new thicker chip in causing overheating and if you put a case on top of that it makes it even worse,0.2,negative,0.22185,negative,1423008000
196669,A3MFRAR121IHTN,B00CIZU082,"Great product, works like it should",1.0,positive,0.8116749999999999,positive,1414108800
197162,A3MFRAR121IHTN,B00CJDEMDW,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
204305,A3MFRAR121IHTN,B00CTPWSW2,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
214009,A2LSLKVVNQ92A,B00DCIZMAU,My favorite case for the Note 3.  Excellent protection and looks terrific!,1.0,positive,0.855325,positive,1417392000
219583,A2LSLKVVNQ92A,B00DPWT4MU,The outer plastic portion of this case used to be more sturdy.  It seems like they are making it thinner now.  It easily gets bent and misshapen when you try to get it around the TPU inner portion.,0.6,neutral,0.583575,neutral,1460505600
220699,A2LSLKVVNQ92A,B00DRJTY44,No frills case.  Pretty slim.,0.6,neutral,0.5816250000000001,neutral,1417305600
229871,A3MFRAR121IHTN,B00E5R9S66,"Great product, works like it should",1.0,positive,0.8116749999999999,positive,1414108800
229945,A3MFRAR121IHTN,B00E5R9RIK,Awesome product. Fast shipping. Item as advertised. Thank you,1.0,positive,0.8116749999999999,positive,1425600000
230506,A2LSLKVVNQ92A,B00E7WG5F6,Great case for the money.  Seems like it would handle drops very well.  I like the built-in stand.  A+++,1.0,positive,0.83735,positive,1424649600
232556,A2UX8I05VSEL6,B00EDRWAAY,This is a great case for LG G3 basically because the buttons on this device are all on the backside of the phone. It gives the Incipio sturdy protection along the vertical sides,1.0,positive,0.69695,positive,1420243200
235675,A3MFRAR121IHTN,B00EKW7FUW,"Works perfect, Thank you",1.0,positive,0.80855,positive,1414627200
236052,A2UX8I05VSEL6,B00EL93SLE,I love Tech Armor they make the best screen gaurds at the most affordable price precision fit good quality,1.0,positive,0.9002,positive,1416096000
237107,A2LSLKVVNQ92A,B00EMNK7QS,Great case for the price!,1.0,positive,0.8076,positive,1417392000
241063,A2UX8I05VSEL6,B00ESYNN80,At first when I opened the box up it looked like something had happened to the case. But now it's gone I don't think that mark was permament .I have been using case for a while and it's perfect what's The Prune Danish anyhow I've never eaten one,1.0,positive,0.74605,positive,1411171200
242110,A2LSLKVVNQ92A,B00ETOEX9M,"Terrific looking case.  But I find that after prolonged use, the sharp edges of the case start to hurt my hand.",0.6,neutral,0.5622,neutral,1417305600
244247,A2LSLKVVNQ92A,B00EZ9Y6RK,Nice case for the price.  No frills.,0.8,positive,0.67705,positive,1417392000
245429,A2UX8I05VSEL6,B00F0EAJPC,It's well worth the price if you can get free shipping thrown in I would purchase this case if you don't want to upgrade to the Defender model,1.0,positive,0.81575,positive,1402531200
250811,A3MFRAR121IHTN,B00F542XG0,"Excellent product, works perfect.",1.0,positive,0.8208,positive,1440201600
250993,A3MFRAR121IHTN,B00F57HGZA,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
257044,A3MFRAR121IHTN,B00FDS2TW6,"Works great, just as advertised.",1.0,positive,0.789825,positive,1422835200
258217,A3MFRAR121IHTN,B00FFJANP8,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
260488,A3MFRAR121IHTN,B00FJIZK8A,"Great part, works perfect",1.0,positive,0.8238,positive,1413763200
